Title,Image,Price & quantity
Gold Premium Tea,https://rajanigroup.in/public/storage/tea-front/1-gold-premium-tea-1.png,250 Gms / 500 Gms
Gold Premium Tea,,250 Gms / 500 Gms
Extra Premium Tea,https://rajanigroup.in/public/storage/tea-front/2-extra-premium-tea-1.png,₹10 / 250gms / 500gms / 1kg
Extra Premium Tea,,₹10 / 250gms / 500gms / 1kg
Premium Tea,https://rajanigroup.in/public/storage/tea-front/3-premium-tea-1.png,₹5 / ₹10 / ₹20 / 50gms / 100gms / 250gms / 500gms / 1Kg / 2kg / 5kg
Premium Tea,,₹5 / ₹10 / ₹20 / 50gms / 100gms / 250gms / 500gms / 1Kg / 2kg / 5kg
Premium Masala Tea,https://rajanigroup.in/public/storage/tea-front/masala-tea.png,250gms
Premium Masala Tea,,250gms
Premium Elaichi Tea,https://rajanigroup.in/public/storage/tea-front/4-premium-elaichi-tea.png,250gms
Premium Elaichi Tea,,250gms
Supreme Gold Tea,https://rajanigroup.in/public/storage/tea-front/5supreme-gold-tea-1.png,₹5 / ₹10 / ₹20 / 250gms / 500gms / 1Kg
Supreme Gold Tea,,₹5 / ₹10 / ₹20 / 250gms / 500gms / 1Kg
Giriraj Tea,https://rajanigroup.in/public/storage/tea-front/6-giriraj-tea-1.png,250gms / 500gms / 1kg / 5kg
Giriraj Tea,,250gms / 500gms / 1kg / 5kg
Gopika Tea,https://rajanigroup.in/public/storage/tea-front/7-gopika-tea-1.png,50gms / 100gms/ 250gms / 500gms / 1kg / 3kg / 5kg
Gopika Tea,,50gms / 100gms/ 250gms / 500gms / 1kg / 3kg / 5kg
Paris Night,https://rajanigroup.in/public/storage/sliders/1paris-night-1.png,₹12 / ₹25 / ₹70
Paris Night,,₹12 / ₹25 / ₹70
999,https://rajanigroup.in/public/storage/sliders/2999.png,₹12 / ₹25 / ₹40 / ₹70
999,,₹12 / ₹25 / ₹40 / ₹70
Fruity,https://rajanigroup.in/public/storage/sliders/5fruity.png,₹12 / ₹70
Fruity,,₹12 / ₹70
Smiley,https://rajanigroup.in/public/storage/sliders/7smiley.png,₹12 / ₹70
Smiley,,₹12 / ₹70
Sparsh,https://rajanigroup.in/public/storage/sliders/6sparsh.png,₹12 / ₹70
Sparsh,,₹12 / ₹70
Vihana,https://rajanigroup.in/public/storage/sliders/9vihanna.png,₹12 / ₹70
Vihana,,₹12 / ₹70
Loban,https://rajanigroup.in/public/storage/sliders/4loban.png,₹15 / ₹40 / ₹75
Loban,,₹15 / ₹40 / ₹75
Fortune,https://rajanigroup.in/public/storage/sliders/12fortune.png,₹70
Fortune,,₹70
Imperia,https://rajanigroup.in/public/storage/sliders/10imperia.png,₹70
Imperia,,₹70
Spark,https://rajanigroup.in/public/storage/sliders/untitled-4.png,₹70
Spark,,₹70
Victor,https://rajanigroup.in/public/storage/sliders/untitled-5.png,₹70
Victor,,₹70
Prabhat Darshan,https://rajanigroup.in/public/storage/sliders/untitled-3.png,₹70
Prabhat Darshan,,₹70
Saumya Darshan,https://rajanigroup.in/public/storage/sliders/untitled-2-1-1.png,₹70
Saumya Darshan,,₹70
Divya Darshan,https://rajanigroup.in/public/storage/sliders/11divya-darshan-1.png,₹ 70
Divya Darshan,,₹ 70
Ram Leela,https://rajanigroup.in/public/storage/sliders/untitled-6.png,₹25 / ₹70 / ₹100
Ram Leela,,₹25 / ₹70 / ₹100
Krishna Leela,https://rajanigroup.in/public/storage/sliders/untitled-7.png,₹25 / ₹70 / ₹100
Krishna Leela,,₹25 / ₹70 / ₹100
Prime 2 in 1,https://rajanigroup.in/public/storage/sliders/13prime-2-in-1.png,₹130
Prime 2 in 1,,₹130
Everest 3 in 1,https://rajanigroup.in/public/storage/sliders/untitled-1-1.png,₹130
Everest 3 in 1,,₹130
Rajani 4 in 1,https://rajanigroup.in/public/storage/sliders/14rajani-pure-4-in-1.png,₹130
Rajani 4 in 1,,₹130
Pure 4 in 1,https://rajanigroup.in/public/storage/sliders/untitled-8.png,₹130
Pure 4 in 1,,₹130
Chief 5 in 1,https://rajanigroup.in/public/storage/sliders/15chief-5-in-1.png,₹130
Chief 5 in 1,,₹130
Hilltop,https://rajanigroup.in/public/storage/sliders/16hiltop.png,₹130
Hilltop,,₹130
Sandal Wood,https://rajanigroup.in/public/storage/sliders/asset-45.png,₹15
Sandal Wood,,₹15
Vrajbhumi,https://rajanigroup.in/public/storage/sliders/asset-44.png,₹15
Vrajbhumi,,₹15
Pure Chamdan,https://rajanigroup.in/public/storage/sliders/asset-64.png,₹15 / ₹60
Pure Chamdan,,₹15 / ₹60
Pure Jasmine,https://rajanigroup.in/public/storage/sliders/asset-62.png,₹15
Pure Jasmine,,₹15
Pure Lavender,https://rajanigroup.in/public/storage/sliders/asset-60.png,₹15 / ₹60
Pure Lavender,,₹15 / ₹60
Pure Dolar,https://rajanigroup.in/public/storage/sliders/asset-63.png,₹15
Pure Dolar,,₹15
Pure Ratrani,https://rajanigroup.in/public/storage/sliders/asset-61.png,₹15 / ₹60
Pure Ratrani,,₹15 / ₹60
Pure Rose,https://rajanigroup.in/public/storage/sliders/asset-59.png,₹15 / ₹25 / ₹60
Pure Rose,,₹15 / ₹25 / ₹60
Pure Pineapple,https://rajanigroup.in/public/storage/sliders/asset-56.png,₹60
Pure Pineapple,,₹60
Rajani Flora,https://rajanigroup.in/public/storage/sliders/asset-57.png,₹65 / ₹125
Rajani Flora,,₹65 / ₹125
Wood Flora,https://rajanigroup.in/public/storage/sliders/asset-55.png,₹65 / ₹125
Wood Flora,,₹65 / ₹125
Shyam Leela,https://rajanigroup.in/public/storage/sliders/asset-52.png,₹100
Shyam Leela,,₹100
Panch Divya,https://rajanigroup.in/public/storage/sliders/asset-51.png,₹25
Panch Divya,,₹25
Sandal,https://rajanigroup.in/public/storage/sliders/asset-58.png,₹25
Sandal,,₹25
White Flower,https://rajanigroup.in/public/storage/sliders/asset-50.png,₹25
White Flower,,₹25
Antique,https://rajanigroup.in/public/storage/sliders/asset-47.png,₹30
Antique,,₹30
Opera,https://rajanigroup.in/public/storage/sliders/asset-49.png,₹35
Opera,,₹35
Orbit,https://rajanigroup.in/public/storage/sliders/asset-48.png,₹35
Orbit,,₹35
Rajani Tube Pack,https://rajanigroup.in/public/storage/sliders/untitled-131.png,₹55
Rajani Tube Pack,,₹55
Rajani Dhoop,https://rajanigroup.in/public/storage/sliders/untitled-121.png,₹72
Rajani Dhoop,,₹72
Rajani Safety Matches,https://rajanigroup.in/public/storage/sliders/untitled-2-1.png,₹1 / ₹2
Rajani Safety Matches,,₹1 / ₹2
Kashmiri Chilli Powder,https://rajanigroup.in/public/storage/sliders/1-kashmiri-chilli.png,200gms / 500gms / 5kg / 10kg / 25kg
Kashmiri Chilli Powder,,200gms / 500gms / 5kg / 10kg / 25kg
Standard Chilli Powder,https://rajanigroup.in/public/storage/sliders/2standard-chilli-1.png,₹5 / ₹10 / ₹20 / 50gms / 100gms / 200gms / 500gms / 1kg / 5kg / 10kg / 25kg
Standard Chilli Powder,,₹5 / ₹10 / ₹20 / 50gms / 100gms / 200gms / 500gms / 1kg / 5kg / 10kg / 25kg
Bansi Chilli Powder,https://rajanigroup.in/public/storage/sliders/3bansi-chilli.png,50gms / 100gms / 200gms / 500gms / 1kg / 5kg / 10kg / 25kg
Bansi Chilli Powder,,50gms / 100gms / 200gms / 500gms / 1kg / 5kg / 10kg / 25kg
Premium Turmeric Powder,https://rajanigroup.in/public/storage/sliders/4premium-turmeric-powder-1.png,200gms / 10kg / 25kg
Premium Turmeric Powder,,200gms / 10kg / 25kg
Standard Turmeric Powder,https://rajanigroup.in/public/storage/sliders/5standard-turmeric-powder-1.png,₹5 / ₹10 / 50gms / 100gms / 200gms / 500gms / 10kg / 25kg
Standard Turmeric Powder,,₹5 / ₹10 / 50gms / 100gms / 200gms / 500gms / 10kg / 25kg
